model,image_size,image_width,text_width,embed_dim,gmacs,macts,mparams,image_gmacs,image_macts,image_mparams,text_gmacs,text_macts,text_mparams
ViT-S-32-alt,224,384,256,256,1.78,4.71,43.22,1.15,2.5,22.59,0.64,2.21,20.63
ViT-S-32,224,384,384,384,2.84,6.48,63.09,1.15,2.5,22.64,1.69,3.98,40.44
ViT-M-32-alt,224,512,384,384,3.69,7.31,80.07,2.0,3.34,39.63,1.69,3.98,40.44
ViT-M-32,224,512,512,512,4.98,8.64,103.12,2.0,3.34,39.69,2.98,5.3,63.43
ViT-B-32,224,768,512,512,7.4,10.31,151.28,4.41,5.01,87.85,2.98,5.3,63.43
ViT-S-16-alt,224,384,256,256,5.25,14.16,42.4,4.61,11.95,21.76,0.64,2.21,20.63
ViT-S-16,224,384,384,384,6.3,15.92,62.26,4.61,11.95,21.81,1.69,3.98,40.44
RN50,224,64,512,1024,9.12,18.29,102.01,6.14,12.98,38.32,2.98,5.3,63.69
ViT-M-16-alt,224,512,384,384,9.7,19.91,78.98,8.0,15.93,38.53,1.69,3.98,40.44
ViT-M-16,224,512,512,512,10.99,21.23,102.02,8.0,15.93,38.59,2.98,5.3,63.43
RN101,224,64,512,512,12.79,23.38,119.69,9.81,18.08,56.26,2.98,5.3,63.43
ViT-B-16,224,768,512,512,20.57,29.2,149.62,17.58,23.9,86.19,2.98,5.3,63.43
ViT-B-16-plus,224,896,640,640,28.41,34.5,208.35,23.77,27.88,117.19,4.64,6.63,91.16
ViT-B-16-plus-240,240,896,640,640,32.05,39.71,208.38,27.41,33.08,117.21,4.64,6.63,91.16
RN50x4,288,80,640,640,25.99,41.9,178.3,21.35,35.27,87.14,4.64,6.63,91.16
ViT-L-16,224,1024,768,768,68.26,71.47,427.74,61.6,63.52,304.09,6.66,7.95,123.65
ViT-L-14,224,1024,768,768,87.73,96.74,427.62,81.08,88.79,303.97,6.66,7.95,123.65
RN50x16,384,96,768,768,81.55,111.49,290.98,74.9,103.54,167.33,6.66,7.95,123.65
ViT-H-16,224,1280,1024,1024,150.96,122.01,986.26,127.4,100.81,632.23,23.57,21.2,354.03
ViT-H-14,224,1280,1024,1024,190.97,160.61,986.11,167.4,139.41,632.08,23.57,21.2,354.03
ViT-g-14,224,1408,1024,1024,290.74,213.84,1366.68,267.18,192.64,1012.65,23.57,21.2,354.03
ViT-L-14-336,336,1024,768,768,197.76,278.19,427.94,191.1,270.24,304.29,6.66,7.95,123.65
ViT-G-14,224,1664,1280,1280,532.92,310.71,2539.57,483.96,275.37,1844.91,48.96,35.34,694.66
ViT-H-14-336,336,1280,1024,1024,414.53,428.74,986.52,390.97,407.54,632.49,23.57,21.2,354.03
ViT-e-14,224,1792,1280,1280,1046.02,475.2,4581.09,990.94,435.44,3807.72,55.08,39.75,773.37
ViT-g-14-336,336,1408,1024,1024,644.21,571.87,1367.13,620.65,550.67,1013.1,23.57,21.2,354.03
ViT-G-14-336,336,1664,1280,1280,1165.0,795.39,2540.1,1116.04,760.05,1845.44,48.96,35.34,694.66
ViT-e-14-336,336,1792,1280,1280,2316.93,1182.82,4581.66,2261.85,1143.07,3808.29,55.08,39.75,773.37
