imagenet-zeroshot-val-top1,imagenet-zeroshot-val-top5,name,epoch
0.5848,0.8452,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,22
0.5243,0.7979,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,14
0.626,0.8745,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,29
0.5153,0.7893,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,11
0.5005,0.7775,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,7
0.5955,0.8547,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,24
0.631,0.8782,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,31
0.3348,0.5942,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,1
0.5066,0.7812,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,8
0.5757,0.8398,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,21
0.5257,0.7974,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,12
0.6125,0.8666,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,27
0.5077,0.7836,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,10
0.4655,0.7419,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,4
0.591,0.8491,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,23
0.5537,0.8197,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,17
0.5583,0.8258,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,19
0.5475,0.8164,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,16
0.5273,0.7983,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,13
0.6086,0.8622,Model-B-32_Data-400M_Samples-13B_lr-1e-3_bs-86k.pt,26
